Tonga,Gloss,Type,Status,C1,C2,Vowel,Time,F0,minimal,C1.class,C2.class,C1.class.reg,C2.class.reg
ku-kolw-a,get drunk,A-H-1,ku-,k,lw,u,1,155.1384025,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,ku-,k,lw,u,2,155.9213383,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,ku-,k,lw,u,3,156.5627653,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,ku-,k,lw,u,4,157.0388674,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,ku-,k,lw,u,5,157.4688042,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,ku-,k,lw,u,6,157.854306,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,ku-,k,lw,u,7,158.2080009,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,ku-,k,lw,u,8,158.7650103,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,ku-,k,lw,u,9,159.3891408,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,ku-,k,lw,u,10,160.1587874,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,stem,k,lw,o,1,165.0004773,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,stem,k,lw,o,2,166.9333242,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,stem,k,lw,o,3,168.4231022,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,stem,k,lw,o,4,169.3688918,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,stem,k,lw,o,5,170.1516971,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,stem,k,lw,o,6,170.8900788,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,stem,k,lw,o,7,172.5137087,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,stem,k,lw,o,8,174.6522564,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,stem,k,lw,o,9,177.5906633,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,stem,k,lw,o,10,180.2563507,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,FV,k,lw,a,1,187.0073784,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,FV,k,lw,a,2,192.8031568,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,FV,k,lw,a,3,196.8416252,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,FV,k,lw,a,4,199.0099755,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,FV,k,lw,a,5,199.7099685,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,FV,k,lw,a,6,199.9123197,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,FV,k,lw,a,7,199.4510629,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,FV,k,lw,a,8,198.6368979,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,FV,k,lw,a,9,198.5184478,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,FV,k,lw,a,10,197.298988,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
