Tonga,Gloss,Type,Status,C1,C2,Vowel,Time,F0,
ku-kolw-a 1,get drunk,A-H-1,ku-,k,lw,u,1,152.1019099,
ku-kolw-a 1,get drunk,A-H-1,ku-,k,lw,u,2,153.6650144,
ku-kolw-a 1,get drunk,A-H-1,ku-,k,lw,u,3,155.2281188,
ku-kolw-a 1,get drunk,A-H-1,ku-,k,lw,u,4,156.7912232,
ku-kolw-a 1,get drunk,A-H-1,ku-,k,lw,u,5,157.8431322,
ku-kolw-a 1,get drunk,A-H-1,ku-,k,lw,u,6,158.8293909,
ku-kolw-a 1,get drunk,A-H-1,ku-,k,lw,u,7,159.8156496,
ku-kolw-a 1,get drunk,A-H-1,ku-,k,lw,u,8,161.0100039,
ku-kolw-a 1,get drunk,A-H-1,ku-,k,lw,u,9,162.2656831,
ku-kolw-a 1,get drunk,A-H-1,ku-,k,lw,u,10,163.5213623,
ku-kolw-a 1,get drunk,A-H-1,stem,k,lw,o,1,169.8934119,
ku-kolw-a 1,get drunk,A-H-1,stem,k,lw,o,2,171.2612166,
ku-kolw-a 1,get drunk,A-H-1,stem,k,lw,o,3,171.5572313,
ku-kolw-a 1,get drunk,A-H-1,stem,k,lw,o,4,170.9243452,
ku-kolw-a 1,get drunk,A-H-1,stem,k,lw,o,5,169.5805951,
ku-kolw-a 1,get drunk,A-H-1,stem,k,lw,o,6,167.8614327,
ku-kolw-a 1,get drunk,A-H-1,stem,k,lw,o,7,168.5279315,
ku-kolw-a 1,get drunk,A-H-1,stem,k,lw,o,8,170.4716587,
ku-kolw-a 1,get drunk,A-H-1,stem,k,lw,o,9,173.550654,
ku-kolw-a 1,get drunk,A-H-1,stem,k,lw,o,10,177.0670406,
ku-kolw-a 1,get drunk,A-H-1,final vowel,k,lw,a,1,183.8921292,
ku-kolw-a 1,get drunk,A-H-1,final vowel,k,lw,a,2,189.8970875,
ku-kolw-a 1,get drunk,A-H-1,final vowel,k,lw,a,3,194.0804821,
ku-kolw-a 1,get drunk,A-H-1,final vowel,k,lw,a,4,196.3598436,
ku-kolw-a 1,get drunk,A-H-1,final vowel,k,lw,a,5,197.2902508,
ku-kolw-a 1,get drunk,A-H-1,final vowel,k,lw,a,6,198.0428627,
ku-kolw-a 1,get drunk,A-H-1,final vowel,k,lw,a,7,198.5801693,
ku-kolw-a 1,get drunk,A-H-1,final vowel,k,lw,a,8,198.9086668,
ku-kolw-a 1,get drunk,A-H-1,final vowel,k,lw,a,9,198.9929532,
ku-kolw-a 1,get drunk,A-H-1,final vowel,k,lw,a,10,198.9724205,
ku-kolw-a 2,get drunk,A-H-1,ku-,k,lw,u,1,153.0007744,
