Tonga,Gloss,Type,Type1,Type2,Vowel,Type3,C1,C2,Status,maxf0,minf0,meanf0,diff.f0,intensity,duration,minimal,C1.class,C2.class,blocker,C2.class.blocker
ku-kolw-a,get drunk,A-H-1,A,H,u,infinitive,k,lw,ku-,160.2570522,150.4608237,152.6298635,NA,63.84915006,45.431077,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,A,H,o,infinitive,k,lw,stem,181.5635312,165.294831,170.7063974,18.0765339,74.61104898,64.4913034,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-kolw-a,get drunk,A-H-1,A,H,a,infinitive,k,lw,FV,201.5687623,190.8924406,198.7464055,28.0400081,80.38833616,109.4150285,no minimal pair,voiceless obstruents,sonorant with glide,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,A,H,u,infinitive,l,nd,ku-,156.0709185,153.8207647,154.9887631,NA,68.06223021,36.18506757,no minimal pair,sonorants,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,A,H,a,infinitive,l,nd,stem,155.0122439,150.9088236,152.216875,-2.7718881,76.10047835,85.77308166,no minimal pair,sonorants,prenasalized voiced stops,non-blocker,non-blocker
ku-land-a,go astray,A-H-1,A,H,a,infinitive,l,nd,FV,199.0514152,184.0183666,194.630998,42.414123,79.39442691,102.5660157,no minimal pair,sonorants,prenasalized voiced stops,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,A,H,u,infinitive,mbw,t,ku-,164.6786932,158.640654,162.7177731,NA,69.3879852,52.58612756,no minimal pair,prenasalized voiced stop with glide,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,A,H,i,infinitive,mbw,t,stem,176.6108345,171.5489237,174.0735589,11.3557858,69.94585939,40.93935974,no minimal pair,prenasalized voiced stop with glide,voiceless obstruents,non-blocker,non-blocker
ku-mbwit-a,miss,A-H-1,A,H,a,infinitive,mbw,t,FV,199.8255955,195.8483562,197.8211677,23.7476088,80.89970565,106.2389589,no minimal pair,prenasalized voiced stop with glide,voiceless obstruents,non-blocker,non-blocker
ku-tap-a,take extra cards,A-H-1,A,H,u,infinitive,t,p,ku-,148.5339227,142.5770166,144.5362525,NA,62.31734265,49.34239476,no minimal pair,voiceless obstruents,voiceless obstruents,non-blocker,non-blocker
